document_id,ID,topic_id,probability
760,1965,4,0.043843064
760,1965,5,0.2607761
760,1965,6,0.043077752
760,1965,7,0.050860975
760,1965,8,0.19623166
760,1965,9,0.112192124
761,1967,0,0.086819865
761,1967,1,0.021041533
761,1967,2,0.020730766
761,1967,3,0.26764956
761,1967,4,0.022822635
761,1967,5,0.3425093
761,1967,6,0.022975868
761,1967,7,0.091405824
761,1967,8,0.06332659
761,1967,9,0.06071803
762,1968,0,0.06850565
762,1968,1,0.15761901
762,1968,2,0.09484513
762,1968,3,0.042385276
762,1968,4,0.035635307
762,1968,5,0.3367639
762,1968,6,0.035013292
762,1968,7,0.041339412
762,1968,8,0.1591
762,1968,9,0.02879311
763,1970,0,0.12810639
763,1970,1,0.03093203
763,1970,2,0.089151174
763,1970,3,0.039905332
763,1970,4,0.092281334
763,1970,5,0.22135262
763,1970,6,0.03296464
763,1970,7,0.09760782
763,1970,8,0.24059017
763,1970,9,0.027108459
764,1971,0,0.0630076
764,1971,1,0.14013113
764,1971,2,0.028778603
764,1971,3,0.03768378
764,1971,4,0.14261998
764,1971,5,0.19226988
764,1971,6,0.031129498
764,1971,7,0.03675393
764,1971,8,0.3020264
764,1971,9,0.025599299
765,1972,0,0.06058566
765,1972,1,0.084713444
765,1972,2,0.19516204
765,1972,3,0.037695605
765,1972,4,0.087186866
765,1972,5,0.2996564
765,1972,6,0.08662143
765,1972,7,0.03676548
765,1972,8,0.08600573
765,1972,9,0.02560736
766,1976,0,0.08299314
766,1976,1,0.037538238
766,1976,2,0.036983833
766,1976,3,0.048428018
766,1976,4,0.04071572
766,1976,5,0.21239606
766,1976,6,0.040005013
766,1976,7,0.047233116
766,1976,8,0.42080882
766,1976,9,0.032898057
767,1980,0,0.14136049
767,1980,1,0.04041925
767,1980,2,0.039822295
767,1980,3,0.07135578
767,1980,4,0.043840595
767,1980,5,0.29559568
767,1980,6,0.043075345
767,1980,7,0.050858118
767,1980,8,0.23824957
767,1980,9,0.035422936
768,1981,0,0.11232488
768,1981,1,0.027675826
768,1981,2,0.027267078
768,1981,3,0.088259734
768,1981,4,0.030018497
768,1981,5,0.30501834
768,1981,6,0.13461158
768,1981,7,0.034823515
768,1981,8,0.0928564
768,1981,9,0.14714424
769,1982,0,0.14133821
769,1982,1,0.035049457
769,1982,2,0.034531787
769,1982,3,0.045217194
769,1982,4,0.10456899
769,1982,5,0.21694928
769,1982,6,0.103909835
769,1982,7,0.11065126
769,1982,8,0.17706698
769,1982,9,0.030716913
770,1987,0,0.067504086
770,1987,1,0.03092504
770,1987,2,0.030468302
770,1987,3,0.09860924
770,1987,4,0.03354274
770,1987,5,0.2972045
770,1987,6,0.03295723
770,1987,7,0.26385936
770,1987,8,0.117827155
770,1987,9,0.027102329
771,1988,0,0.068123795
771,1988,1,0.0952495
771,1988,2,0.0323692
771,1988,3,0.04238544
771,1988,4,0.035635445
771,1988,5,0.24698758
771,1988,6,0.035013407
771,1988,7,0.2563419
771,1988,8,0.09670599
771,1988,9,0.091187716
772,1989,0,0.06533192
772,1989,1,0.030926803
772,1989,2,0.0891719
772,1989,3,0.098628595
772,1989,4,0.09227498
772,1989,5,0.1454644
772,1989,6,0.03315321
772,1989,7,0.055703722
772,1989,8,0.36224052
772,1989,9,0.027103877
773,1926,0,0.056897815
773,1926,1,0.12612876
773,1926,2,0.025914527
773,1926,3,0.033923198
773,1926,4,0.028520856
773,1926,5,0.3091033
773,1926,6,0.028022999
773,1926,7,0.03308614
773,1926,8,0.2354975
773,1926,9,0.122904874
774,1927,0,0.40856832
774,1927,1,0.020904576
774,1927,2,0.020733764
774,1927,3,0.06568328
774,1927,4,0.0679541
774,1927,5,0.1712806
774,1927,6,0.093221955
774,1927,7,0.07791946
774,1927,8,0.053006265
774,1927,9,0.020727599
775,1923,0,0.04370673
775,1923,1,0.02108084
775,1923,2,0.10089319
775,1923,3,0.18852396
775,1923,4,0.0629124
775,1923,5,0.13595842
775,1923,6,0.022464603
775,1923,7,0.026864393
775,1923,8,0.2624159
775,1923,9,0.13517952
776,1924,0,0.17749386
776,1924,1,0.022873862
776,1924,2,0.022536036
776,1924,3,0.11638855
776,1924,4,0.024810083
776,1924,5,0.14789045
776,1924,6,0.024376944
776,1924,7,0.028781364
776,1924,8,0.110716015
776,1924,9,0.3241328
777,1925,0,0.04992794
777,1925,1,0.06637018
777,1925,2,0.022555072
777,1925,3,0.11694423
777,1925,4,0.024829688
777,1925,5,0.21906607
777,1925,6,0.024395071
777,1925,7,0.07228277
777,1925,8,0.16784151
777,1925,9,0.23578751
778,1913,0,0.1440863
778,1913,1,0.026293641
778,1913,2,0.12577567
778,1913,3,0.033921376
778,1913,4,0.028519316
778,1913,5,0.24045277
778,1913,6,0.02802148
778,1913,7,0.033084415
778,1913,8,0.26690623
778,1913,9,0.07293879
779,1914,0,0.10058262
779,1914,1,0.120156825
779,1914,2,0.02467408
779,1914,3,0.03230916
779,1914,4,0.027163852
779,1914,5,0.20278509
779,1914,6,0.02668967
779,1914,7,0.0790504
779,1914,8,0.36464003
779,1914,9,0.021948222
780,1915,0,0.110065416
780,1915,1,0.1328064
780,1915,2,0.079834804
780,1915,3,0.035706572
780,1915,4,0.13513401
780,1915,5,0.17895217
780,1915,6,0.08193538
780,1915,7,0.03482551
780,1915,8,0.18648359
780,1915,9,0.024256153
781,1918,0,0.07784244
781,1918,1,0.037541546
781,1918,2,0.17954576
781,1918,3,0.048432272
781,1918,4,0.04071932
781,1918,5,0.3135771
781,1918,6,0.04000852
781,1918,7,0.04768322
781,1918,8,0.110502355
781,1918,9,0.104147464
782,1906,0,0.083814144
782,1906,1,0.040421516
782,1906,2,0.039824523
782,1906,3,0.052147724
782,1906,4,0.04384306
782,1906,5,0.41484168
782,1906,6,0.043077745
782,1906,7,0.12762515
782,1906,8,0.11897946
782,1906,9,0.03542492
783,1907,0,0.060579516
783,1907,1,0.029216165
783,1907,2,0.028784666
783,1907,3,0.09316478
783,1907,4,0.198109
783,1907,5,0.35414
783,1907,6,0.031136025
783,1907,7,0.09326828
783,1907,8,0.08599682
783,1907,9,0.025604699
784,1909,0,0.08381583
784,1909,1,0.040422343
784,1909,2,0.039825343
784,1909,3,0.05214879
784,1909,4,0.043843962
784,1909,5,0.23760474
784,1909,6,0.043078627
784,1909,7,0.05086201
784,1909,8,0.29626936
784,1909,9,0.112129025
785,1896,0,0.33677393
785,1896,1,0.051661078
785,1896,2,0.01454029
785,1896,3,0.04714503
785,1896,4,0.06925612
785,1896,5,0.18455371
785,1896,6,0.034316607
785,1896,7,0.09337922
785,1896,8,0.15450987
785,1896,9,0.01386417
786,1892,0,0.10095294
786,1892,1,0.08145632
786,1892,2,0.048962533
786,1892,3,0.021902505
786,1892,4,0.018414516
786,1892,5,0.48271668
786,1892,6,0.01809302
786,1892,7,0.08901628
786,1892,8,0.12360639
786,1892,9,0.014878802
787,1893,0,0.19253902
787,1893,1,0.03504084
787,1893,2,0.10107145
787,1893,3,0.045206126
787,1893,4,0.17107832
787,1893,5,0.23159678
787,1893,6,0.037343495
787,1893,7,0.04409066
787,1893,8,0.111323975
787,1893,9,0.030709367
788,1884,0,0.31904513
788,1884,2,0.043437164
788,1884,4,0.043962665
788,1884,5,0.15670091
788,1884,6,0.06434348
788,1884,7,0.2814124
788,1884,8,0.0749639
789,1885,0,0.10988399
789,1885,1,0.20445783
789,1885,2,0.05617493
789,1885,3,0.029732376
789,1885,4,0.095129095
789,1885,5,0.19914286
789,1885,6,0.020765956
789,1885,7,0.062339764
789,1885,8,0.20529626
789,1885,9,0.017076869
790,1886,0,0.13593909
790,1886,1,0.066299506
790,1886,2,0.022531323
